federal_action_obligation,total_dollars_obligated,total_outlayed_amount_for_overall_award,current_total_value_of_award,awarding_agency_name,awarding_office_name,funding_agency_name,funding_office_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_name,primary_place_of_performance_country_name,transaction_description,prime_award_base_transaction_description,action_type,product_or_service_code_description,naics_description,recovered_materials_sustainability_code,domestic_or_foreign_entity,small_business_competitiveness_demonstration_program,alaskan_native_corporation_owned_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_organization_owned_firm,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size,emerging_small_business,us_federal_government,federally_funded_research_and_development_corp,federal_agency,usaspending_permalink
0.0,1540229.5,1276013.87,5255154.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),EASTERN RESEARCH GROUP INC,LEXINGTON,MIDDLESEX,MASSACHUSETTS,UNITED STATES,"SHIFT FUNDS FROM OPTION PERIOD 1 TO OPTION PERIOD 2 OF OA'S AUDIT AND ASSESSMENT EFFORTS IN SUPPORT OF SAFETY, HEALTH,  ENVIRONMENTAL MANAGEMENT, SUSTAINABILITY, FLEET, AND SECURITY  PROGRAMS IN ACCORDANCE WITH THE PERFORMANCE WORK STATEMENT (P","OA'S AUDIT AND ASSESSMENT EFFORTS IN SUPPORT OF SAFETY, HEALTH, ENVIRONMENTAL MANAGEMENT, SUSTAINABILITY, FLEET, AND SECURITY PROGRAMS IN ACCORDANCE WITH THE PERFORMANCE WORK STATEMENT (PWS)",FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC21F0258_6800_EPBPA16H0011_6800/
51046.0,5249320.06,2509834.25,5249320.06,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"MODIFICATION P00044 IS ISSUED TO PROVIDE INCREMENTAL FUNDING IN THE AMOUNT OF $51,046.00 TO PROVIDE ADDITIONAL FUNDING FOR START LOE HOURS FOR RD REVISIONS AND ADDITIONAL SITE WORK PRIOR TO EXCAVATION AT THE RYELAND ROAD (03G5) OU01 SITE.  TASK ORD",TASK ORDER #05 - REMEDIAL ASSESSMENT SUPPORT ACTIVITIES,FUNDING ONLY ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0320F0072_6800_68HE0320D0003_6800/
0.0,5248027.66,,5248027.66,Environmental Protection Agency,REGION 7 CONTRACTING OFFICE,Environmental Protection Agency,REGION 7 (FUNDING OFFICE),"SPECPRO-AYUDA JV, LLC",ANCHORAGE,ANCHORAGE,ALASKA,UNITED STATES,"FORMER UNITED ZINC SUPERFUND SITE REMEDIAL ACTION FOR OPERABLE UNIT 1 (OU1) FY23 RESIDENTIAL PROPERTIES. MOD P00002: ISSUE, ASSIGN PROPERTIES ELIGIBLE FOR REMEDIATION.",FORMER UNITED ZINC SUPERFUND SITE REMEDIAL ACTION FOR OPERABLE UNIT 1 (OU1) FY23 RESIDENTIAL PROPERTIES.,OTHER ADMINISTRATIVE ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0723F0149_6800_68HE0723D0008_6800/
0.0,5248027.66,,5248027.66,Environmental Protection Agency,REGION 7 CONTRACTING OFFICE,Environmental Protection Agency,REGION 7 (FUNDING OFFICE),"SPECPRO-AYUDA JV, LLC",ANCHORAGE,ANCHORAGE,ALASKA,UNITED STATES,"FORMER UNITED ZINC SUPERFUND SITE REMEDIAL ACTION FOR OPERABLE UNIT 1 (OU1) FY23 RESIDENTIAL PROPERTIES. MOD P00001: ISSUE, ASSIGNED TASK ORDER (OPTION PERIOD 1 PROPERTIES), FOR THOSE PROPERTIES ELIGIBLE FOR REMEDIATION.",FORMER UNITED ZINC SUPERFUND SITE REMEDIAL ACTION FOR OPERABLE UNIT 1 (OU1) FY23 RESIDENTIAL PROPERTIES.,OTHER ADMINISTRATIVE ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0723F0149_6800_68HE0723D0008_6800/
4000.0,5034759.0,1540788.24,5233893.78,Environmental Protection Agency,REGION 2 CONTRACTING OFFICE,Environmental Protection Agency,REGION 2 (FUNDING OFFICE),WESTON SOLUTIONS INC,WEST CHESTER,CHESTER,PENNSYLVANIA,UNITED STATES,"START V CORE RESPONSE TEAM CONTRACT YEAR 5 - THIS MODIFICATION PROVIDES ENFORCEMENT FUNDING IN THE AMOUNT OF $4,000.00 FOR THE CORE RESPONSE TEAM.","START V BASE TASK ORDER: CORE RESPONSE TEAM FOR CONTRACT YEAR 5 IN ACCORDANCE WITH STATEMENT OF WORK FOR THE PERIOD JULY 1, 2023 THROUGH JUNE 30, 2024.",FUNDING ONLY ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0223F0030_6800_68HE0319D0004_6800/
0.0,5200000.0,3265798.34,5200000.0,Environmental Protection Agency,REGION 4 CONTRACTING OFFICE,Environmental Protection Agency,REGION 4 (FUNDING OFFICE),"TETRA TECH, INC.",DULUTH,GWINNETT,GEORGIA,UNITED STATES,ADMINISTRATIVE MODIFICATION TO MODIFY TOLINS,INITIATE NEW TIME-CRITICAL REMOVAL ACTIONS BULK FUNDED TASK ORDER UNDER START 5 CONTRACT #68HE0519D0006 (TETRA TECH) TO IMPLEMENT UTILIZING TOLINS. THIS IS SPECIFIC TO SECTION II.A RESPONSE ACTIVITIES AND APPENDIX A (A) SPECIFIC TASK LIST REMOVAL SIT,OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0420F0049_6800_68HE0519D0006_6800/
0.0,5200000.0,3265798.34,5200000.0,Environmental Protection Agency,REGION 4 CONTRACTING OFFICE,Environmental Protection Agency,REGION 4 (FUNDING OFFICE),"TETRA TECH, INC.",DULUTH,GWINNETT,GEORGIA,UNITED STATES,ADMINISTRATIVE MODIFICATION TO MODIFY TOLINS,INITIATE NEW TIME-CRITICAL REMOVAL ACTIONS BULK FUNDED TASK ORDER UNDER START 5 CONTRACT #68HE0519D0006 (TETRA TECH) TO IMPLEMENT UTILIZING TOLINS. THIS IS SPECIFIC TO SECTION II.A RESPONSE ACTIVITIES AND APPENDIX A (A) SPECIFIC TASK LIST REMOVAL SIT,OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0420F0049_6800_68HE0519D0006_6800/
0.0,5200000.0,3265798.34,5200000.0,Environmental Protection Agency,REGION 4 CONTRACTING OFFICE,Environmental Protection Agency,REGION 4 (FUNDING OFFICE),"TETRA TECH, INC.",DULUTH,GWINNETT,GEORGIA,UNITED STATES,ADMINISTRATIVE MODIFICATION TO MODIFY TOLINS,INITIATE NEW TIME-CRITICAL REMOVAL ACTIONS BULK FUNDED TASK ORDER UNDER START 5 CONTRACT #68HE0519D0006 (TETRA TECH) TO IMPLEMENT UTILIZING TOLINS. THIS IS SPECIFIC TO SECTION II.A RESPONSE ACTIVITIES AND APPENDIX A (A) SPECIFIC TASK LIST REMOVAL SIT,OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0420F0049_6800_68HE0519D0006_6800/
22413.0,5198274.06,2509834.25,5198274.06,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"MODIFICATION P00043 IS ISSUED TO PROVIDE INCREMENTAL FUNDING IN THE AMOUNT OF $22,413.00 TO PROVIDE ADDITIONAL FUNDING FOR START LOE HOURS FOR THE REMEDIAL DESIGN COMPLETION AT THE RYELAND ROAD (03G5) OU01 SITE.  TASK ORDER #05 - REMEDIAL ASSESSMEN",TASK ORDER #05 - REMEDIAL ASSESSMENT SUPPORT ACTIVITIES,FUNDING ONLY ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0320F0072_6800_68HE0320D0003_6800/
120000.0,3553446.03,787826.81,5186367.38,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),CGI FEDERAL INC.,FAIRFAX,FAIRFAX,VIRGINIA,UNITED STATES,"OMIS, OFFICE OF RESEARCH AND DEVELOPMENT, MANAGEMENT INFORMATION SYSTEM. PROVIDES SUPPORT FOR CRITICAL AGENCY INFORMATION TECHNOLOGY SERVICES FOR THE ORD MANAGEMENT INFORMATION SYSTEM (OMIS), WHICH IS A LARGE ORACLE-BASED APPLICATION, CLASSIFIED BY T","IGF::OT::IGF OMIS, OFFICE OF RESEARCH AND DEVELOPMENT, MANAGEMENT INFORMATION SYSTEM",FUNDING ONLY ACTION,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG15H01152_6800_HHSN316201200011W_7529/
50000.0,3433446.03,787826.81,5186367.38,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),CGI FEDERAL INC.,FAIRFAX,FAIRFAX,VIRGINIA,UNITED STATES,"OMIS, OFFICE OF RESEARCH AND DEVELOPMENT, MANAGEMENT INFORMATION SYSTEM  WORK PERFORMED UNDER THIS TASK ORDER INVOLVES SUPPORT FOR CRITICAL AGENCY INFORMATION TECHNOLOGY SERVICES FOR THE ORD MANAGEMENT INFORMATION SYSTEM (OMIS), WHICH IS A LARGE ORA","IGF::OT::IGF OMIS, OFFICE OF RESEARCH AND DEVELOPMENT, MANAGEMENT INFORMATION SYSTEM",OTHER ADMINISTRATIVE ACTION,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG15H01152_6800_HHSN316201200011W_7529/
0.0,5149532.48,503819.89,5176919.21,Environmental Protection Agency,REGION 7 CONTRACTING OFFICE,Environmental Protection Agency,REGION 10 (FUNDING OFFICE),"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",HUNT VALLEY,BALTIMORE,MARYLAND,UNITED STATES,R10 DES: PALERMO WELLFIELD SUPERFUND SITE REMEDIAL INVESTIGATION AND FEASIBILITY STUDY MODIFICATION P00005 - ADD JAMES HALL AS PRIMARY INVOICE APPROVER.,R10 DES: PALERMO WELLFIELD SUPERFUND SITE REMEDIAL INVESTIGATION AND FEASABILITY STUDY,OTHER ADMINISTRATIVE ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0722F0134_6800_68HE0318D0005_6800/
56626.0,5175861.06,2509834.25,5175861.06,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"MODIFICATION P00042 IS ISSUED TO PROVIDE INCREMENTAL FUNDING IN THE AMOUNT OF $56,626.00 TO PROVIDE NECESSARY TECHNICAL SUPPORT AT THE STRASBURG LANDFILL (03H6) OU00 SITE FOR SAMPLING OF LANDFILL MONITORING WELLS FOR PFAS CONTAMINATION IN GROUNDWATER",TASK ORDER #05 - REMEDIAL ASSESSMENT SUPPORT ACTIVITIES,FUNDING ONLY ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0320F0072_6800_68HE0320D0003_6800/
0.0,3383446.03,787826.81,5164284.97,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),CGI FEDERAL INC.,FAIRFAX,FAIRFAX,VIRGINIA,UNITED STATES,"OMIS, OFFICE OF RESEARCH AND DEVELOPMENT, MANAGEMENT INFORMATION SYSTEM  WORK PERFORMED UNDER THIS TASK ORDER INVOLVES SUPPORT FOR CRITICAL AGENCY INFORMATION TECHNOLOGY SERVICES FOR THE ORD MANAGEMENT INFORMATION SYSTEM (OMIS), WHICH IS A LARGE ORA","IGF::OT::IGF OMIS, OFFICE OF RESEARCH AND DEVELOPMENT, MANAGEMENT INFORMATION SYSTEM",OTHER ADMINISTRATIVE ACTION,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG15H01152_6800_HHSN316201200011W_7529/
0.0,1713163.7,1153669.76,5152025.88,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC CHEMSFTYPOLLPREV(OCSPP) (FUND),"VERSAR, INC.",SPRINGFIELD,FAIRFAX,VIRGINIA,UNITED STATES,"ID/IQ EXPOSURE ASSESSMENTS FOR TOXIC SUBSTANCES (EATS) TASK  ORDER: PREPARATION OF CONSUMER, GENERAL POPULATION, AND  ENVIRONMENTAL EXPOSURE ASSESSMENTS FOR EPA'S EXISTING  CHEMICALS PROGRAMS","ID/IQ EXPOSURE ASSESSMENTS FOR TOXIC SUBSTANCES (EATS) TASK ORDER: PREPARATION OF CONSUMER, GENERAL POPULATION, AND ENVIRONMENTAL EXPOSURE ASSESSMENTS FOR EPA'S EXISTING CHEMICALS PROGRAMS",FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC21F0278_6800_EPW17006_6800/
0.0,2875200.0,2019059.14,5137408.06,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),ACCESS INTERPRETING INC,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"INTERPRETING SERVICES, CART (COMMUNICATION ACCESS REAL-TIME TRANSLATION), AND CUED SPEECH LANGUAGE TRANSLITERATOR SERVICES FOR THE DEAF AND HARD OF HEARING EMPLOYEES.","SIGN LANGUAGE INTERPRETING, CART (COMMUNICATION ACCESS REAL-TIME TRANSLATION), AND CUED SPEECH LANGUAGE TRANSLITERATOR SERVICES FOR THE DEAF AND HARD OF HEARING EMPLOYEES.",OTHER ADMINISTRATIVE ACTION,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,TRANSLATION AND INTERPRETATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC22F0512_6800_GS10F0372X_4732/
474600.0,3349800.0,2019059.14,5137408.06,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),ACCESS INTERPRETING INC,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"INTERPRETING SERVICES, CART (COMMUNICATION ACCESS REAL-TIME TRANSLATION), AND CUED SPEECH LANGUAGE TRANSLITERATOR SERVICES FOR THE DEAF AND HARD OF HEARING EMPLOYEES.","SIGN LANGUAGE INTERPRETING, CART (COMMUNICATION ACCESS REAL-TIME TRANSLATION), AND CUED SPEECH LANGUAGE TRANSLITERATOR SERVICES FOR THE DEAF AND HARD OF HEARING EMPLOYEES.",FUNDING ONLY ACTION,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,TRANSLATION AND INTERPRETATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC22F0512_6800_GS10F0372X_4732/
0.0,4800412.2,2995641.44,5123210.74,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC LANDEMERG MGMT (OLEM)(FUNDING),"CHEMTEX ENVIRONMENTAL LABORATORY, INC.",PORT ARTHUR,JEFFERSON,TEXAS,UNITED STATES,"CHEMTEX ENVIRONMENTAL LABORATORY, INC. MOD 17: SHIFT FUNDS","CHEMTEX ENVIRONMENTAL LABORATORY, INC. TASK ORDER INITIATION",FUNDING ONLY ACTION,OTHER ENVIRONMENTAL SERVICES,TESTING LABORATORIES AND SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERH21F0033_6800_68HERH20D0012_6800/
430552.5,4555773.38,3371769.03,5093964.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),TRC ENVIRONMENTAL CORP,RALEIGH,WAKE,NORTH CAROLINA,UNITED STATES,"OPERATIONS, MAINTENANCE, AND MODIFICATION OF THE CHAPEL HILL FACILITY, RESEARCH TRIANGLE PARK, NC - ADD INCREMENTAL FUNDING","OPERATIONS, MAINTENANCE, AND MODIFICATION OF THE CHAPEL HILL FACILITY, RESEARCH TRIANGLE PARK, NC",FUNDING ONLY ACTION,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,ENGINEERING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC22C0056_6800_-NONE-_-NONE-/
430552.5,4125220.88,3371769.03,5093964.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),TRC ENVIRONMENTAL CORP,RALEIGH,WAKE,NORTH CAROLINA,UNITED STATES,"OPERATIONS, MAINTENANCE, AND MODIFICATION OF THE CHAPEL HILL FACILITY, RESEARCH TRIANGLE PARK, NC - ADD INCREMENTAL FUNDING","OPERATIONS, MAINTENANCE, AND MODIFICATION OF THE CHAPEL HILL FACILITY, RESEARCH TRIANGLE PARK, NC",FUNDING ONLY ACTION,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,ENGINEERING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC22C0056_6800_-NONE-_-NONE-/
-25726.13,5045801.66,,5087527.79,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),"ECS FEDERAL, LLC",FAIRFAX,FAIRFAX,VIRGINIA,UNITED STATES,"MODIFICATION TO DE-OBLIGATE -$25,726.13 FROM THE EXPIRED CONTRACT.",IGF::OT::IGF ENTERPRISE-WIDE COMMUNICATIONS SOLUTIONS (ITS-ACT IV) IN ACCORDANCE WITH THE UNDERLYING PMPS FOR SOW TASKS 1 - 9,FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG16H01265_6800_HHSN316201200021W_7529/
691456.81,4594544.26,1118487.29,5063173.65,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),PARS ENVIRONMENTAL INC,ROBBINSVILLE,MERCER,NEW JERSEY,UNITED STATES,"ATLANTIC WOOD INDUSTRIES, INC. (AWI)  THE PURPOSE OF THIS TASK ORDER IS TO CONDUCT OPERATION AND MAINTENANCE (O&M) ACTIVITIES AT THE ATLANTIC WOOD INDUSTRIES, INC. SUPERFUND SITE. THESE ACTIVITIES INCLUDE ROUTINE MAINTENANCE AND INCIDENTAL REPAI","ATLANTIC WOOD INDUSTRIES, INC. (AWI)  THE PURPOSE OF THIS TASK ORDER IS TO CONDUCT OPERATION AND MAINTENANCE (O&M) ACTIVITIES AT THE ATLANTIC WOOD INDUSTRIES, INC. SUPERFUND SITE. THESE ACTIVITIES INCLUDE ROUTINE MAINTENANCE AND INCIDENTAL REPAI",OTHER ADMINISTRATIVE ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,t,t,t,t,t,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0322F0009_6800_68HE0118D0008_6800/
80806.8,5040224.98,2669115.49,5040224.98,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),"CH2M HILL, INC",ENGLEWOOD,DENVER,COLORADO,UNITED STATES,"THE PURPOSE OF THIS ADMIN MODIFICATION IS TO INCREASE THE LEVEL OF EFFORT FOR TASK 4.2.2, 9.1.4, AND 9.1.5.","THIS IS A FIRM FIXED PRICE/COST PLUS FIXED FEE HYBRID TASK ORDER. THE CONTRACTOR SHALL FURNISH ALL NECESSARY SERVICES, INCLUDING LABOR, SUBCONTRACTS, MATERIALS, EQUIPMENT, AND OTHER DIRECT COSTS, TO MEET PERFORMANCE STANDARDS AND SUCCESSFULLY ACCOMP",SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,OTHER ENVIRONMENTAL SERVICES,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0921F0026_6800_68HE0318D0004_6800/
-35808.92,4017031.53,1936256.31,5000000.0,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"S.S. PAPADOPULOS & ASSOCIATES, INC.",ROCKVILLE,MONTGOMERY,MARYLAND,UNITED STATES,"THE PURPOSE OF THIS MODIFICATION IS TO DECREASE THE CAPACITY OF THIS TASK ORDER BY $114,804.92 AND DEOBLIGATE FUNDS IN THE AMOUNT OF $35,808.92 FROM CLIN 0001AD, PRISTINE SUPERFUND SITE (SSID: 0556).",EPA REGION 5 GROUNDWATER EVALUATION AND OPTIMIZATION SYSTEM TASK ORDER,CHANGE ORDER,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0520F0029_6800_GS10F0462M_4730/
4452.16,4017031.53,1936256.31,5000000.0,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"S.S. PAPADOPULOS & ASSOCIATES, INC.",ROCKVILLE,MONTGOMERY,MARYLAND,UNITED STATES,"THE PURPOSE OF THIS MODIFICATION IS TO INCREASE THE CAPACITY OF THIS TASK ORDER BY $4,452.16 AND OBLIGATE FUNDS IN THE AMOUNT OF $4,452.16 FROM CLIN 0001AP, REILLY TAR AND CHEMICAL CORP (DOVER PLANT) SUPERFUND SITE SSID: 05BE.",EPA REGION 5 GROUNDWATER EVALUATION AND OPTIMIZATION SYSTEM TASK ORDER,CHANGE ORDER,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0520F0029_6800_GS10F0462M_4730/
